_id,flavors,rating,totalTimeInSeconds,ingredients,sourceDisplayName,recipeName,attributes,id
ObjectId(58e5ee26a4e2980ece6a2862),"{""piquant"":0.0,""sour"":0.6666666666666666,""salty"":0.8333333333333334,""sweet"":0.16666666666666666,""bitter"":0.6666666666666666,""meaty"":0.6666666666666666}",4,900,"[""butter"",""olive oil"",""fresh lemon juice"",""chopped garlic"",""garlic powder"",""pita bread rounds""]",AllRecipes,Fried Garlic Pita,"{""course"":[""Lunch""]}",Fried-Garlic-Pita-Allrecipes
ObjectId(58e5ee26a4e2980ece6a2aaa),,3,3000,"[""peanut oil"",""all-purpose flour"",""paprika"",""garlic powder"",""old bay seasoning"",""celery seed"",""onion powder"",""thyme"",""cayenne"",""kosher salt"",""black pepper"",""oysters"",""garlic cloves"",""olive oil"",""mayonnaise"",""dill pickles"",""fresh dill"",""lemon"",""white pepper""]",Garden and Gun,Fried Oysters,"{""course"":[""Appetizers"",""Main Dishes""]}",Fried-Oysters-1457225
ObjectId(58e5ee26a4e2980ece6a2cf0),,4,1800,"[""filet"",""all-purpose flour"",""eggs"",""bread crumbs"",""panko"",""pepper"",""salt"",""butter"",""oil""]",Sweet Sour Savory,Fried Sole Filets,"{""course"":[""Main Dishes""]}",Fried-Sole-Filets-901386
ObjectId(58e5ee26a4e2980ece6a31bd),,5,1800,"[""flour"",""eggs"",""yellow cornmeal"",""green tomatoes"",""canola oil"",""kosher salt"",""mozzarella cheese"",""grated parmesan cheese""]",Framed Cooks,Fried Green Tomatoes!,"{""course"":[""Side Dishes""],""cuisine"":[""Southern \u0026 Soul Food""]}",Fried-green-tomatoes_-368976
ObjectId(58e5ee26a4e2980ece6a327b),"{""piquant"":0.16666666666666666,""sour"":0.16666666666666666,""salty"":0.8333333333333334,""sweet"":0.16666666666666666,""bitter"":0.6666666666666666,""meaty"":0.3333333333333333}",4,1200,"[""ground pork"",""garlic"",""green onions"",""fresh ginger"",""rice vinegar"",""soy sauce"",""garlic chili sauce"",""sesame oil"",""wonton wrappers"",""corn starch"",""cold water"",""vegetable oil"",""water""]",Or Whatever You Do,Fried Sesame Pork Dumplings,"{""course"":[""Appetizers"",""Main Dishes""],""cuisine"":[""Chinese"",""Asian""]}",Fried-Sesame-Pork-Dumplings-681873
ObjectId(58e5ee26a4e2980ece6a32ac),,4,3600,"[""buttermilk"",""sugar"",""salt"",""chicken thighs"",""flour"",""corn starch"",""baking powder"",""pepper"",""water"",""canola oil""]",Cupcake Diaries,Fried Chicken,"{""course"":[""Main Dishes""]}",Fried-Chicken-1544294
ObjectId(58e5ee26a4e2980ece6a3593),,4,1500,"[""oil"",""pressed tofu"",""lemongrass"",""red chili peppers"",""garlic"",""chinese five-spice powder"",""salt"",""ground white pepper""]",Vietnamese Foody,Fried Tofu with Lemongrass and Five Spice (Dau Phu Chien Sa Recipe),"{""course"":[""Lunch""],""cuisine"":[""Asian""]}",Fried-Tofu-with-Lemongrass-and-Five-Spice-_Dau-Phu-Chien-Sa-Recipe_-1222234
ObjectId(58e5ee26a4e2980ece6a3a66),"{""sweet"":0.16666666666666666,""sour"":0.6666666666666666,""salty"":0.8333333333333334,""piquant"":0.0,""bitter"":0.16666666666666666,""meaty"":0.16666666666666666}",4,1140,"[""green tomatoes"",""eggs"",""milk"",""flour"",""cornmeal"",""bread crumbs"",""kosher salt"",""ground black pepper"",""oil"",""blue cheese dressing"",""dill""]",Fox Valley Foodie,Fried Green Tomatoes with Blue Cheese Dill Dipping Sauce,{},Fried-Green-Tomatoes-with-Blue-Cheese-Dill-Dipping-Sauce-1256390
ObjectId(58e5ee26a4e2980ece6a3ce4),"{""sweet"":0.16666666666666666,""sour"":0.16666666666666666,""salty"":0.8333333333333334,""piquant"":0.0,""bitter"":0.8333333333333334,""meaty"":0.8333333333333334}",3,3000,"[""elbow macaroni"",""butter"",""flour"",""milk"",""cheddar cheese"",""smoked gouda"",""pepper"",""salt"",""eggs"",""bread crumbs"",""italian seasoning""]",http://foodterest.com/,Fried Mac & Cheese,"{""cuisine"":[""Kid-Friendly""]}",Fried-Mac-_-Cheese-575125
ObjectId(58e5ee26a4e2980ece6a3d0a),"{""piquant"":0.0,""sour"":0.5,""salty"":0.5,""sweet"":0.16666666666666666,""bitter"":0.3333333333333333,""meaty"":0.8333333333333334}",4,1080,"[""shredded zucchini"",""saltines"",""shredded cheddar cheese"",""eggs"",""yellow onion"",""salt"",""black pepper"",""vegetable oil""]",The Country Contessa,Fried Zucchini Cakes,"{""course"":[""Appetizers"",""Side Dishes""]}",Fried-Zucchini-Cakes-1814580
ObjectId(58e5ee26a4e2980ece6a3ece),"{""piquant"":0.16666666666666666,""sour"":0.16666666666666666,""salty"":0.16666666666666666,""sweet"":0.16666666666666666,""bitter"":0.16666666666666666,""meaty"":0.3333333333333333}",3,3600,"[""russet potatoes"",""olive oil"",""fresh rosemary"",""kosher salt"",""freshly ground pepper"",""vegetable oil"",""eggs""]",Williams-Sonoma,Fried Eggs with Rosemary Potatoes,"{""course"":[""Breakfast and Brunch""]}",Fried-Eggs-with-Rosemary-Potatoes-458503
