_id,flavors,rating,totalTimeInSeconds,ingredients,sourceDisplayName,recipeName,attributes,id
ObjectId(58e5ee1ca4e2980ece66ce53),,4,2400,"[""butter"",""sweet potatoes"",""salt"",""freshly ground black pepper"",""nutmeg"",""chopped walnuts"",""light brown sugar""]",Brown Eyed Baker,Mashed Sweet Potato Brulée,"{""course"":[""Side Dishes""]}",Mashed-Sweet-Potato-Brulee-1455648
ObjectId(58e5ee1da4e2980ece66d32a),"{""sweet"":0.16666666666666666,""sour"":0.5,""salty"":0.3333333333333333,""piquant"":0.6666666666666666,""bitter"":0.16666666666666666,""meaty"":0.16666666666666666}",5,,"[""russet potatoes"",""parsnips"",""unsalted butter"",""horseradish"",""cream"",""kosher salt"",""freshly ground pepper"",""heavy cream""]",Williams-Sonoma,Mashed Potatoes with Parsnip and Horseradish,{},Mashed-Potatoes-with-Parsnip-and-Horseradish-459159
ObjectId(58e5ee1da4e2980ece66d74f),"{""piquant"":0.0,""sour"":0.3333333333333333,""salty"":0.8333333333333334,""sweet"":0.16666666666666666,""bitter"":0.8333333333333334,""meaty"":0.16666666666666666}",4,2100,"[""mashed potatoes"",""bacon"",""panko breadcrumbs"",""parmesan cheese""]",Faithfully Free,Mashed Potato Gratin,"{""course"":[""Side Dishes""]}",Mashed-Potato-Gratin-1697136
ObjectId(58e5ee1da4e2980ece66e4aa),"{""piquant"":0.0,""sour"":0.8333333333333334,""salty"":0.16666666666666666,""sweet"":0.16666666666666666,""bitter"":0.16666666666666666,""meaty"":0.16666666666666666}",4,2700,"[""potatoes"",""baby spinach"",""olive oil"",""butter"",""milk"",""garlic"",""salt"",""pepper""]",Who Needs A Cape,Mashed Potatoes with Wilted Spinach,"{""course"":[""Side Dishes""]}",Mashed-Potatoes-with-Wilted-Spinach-974362
ObjectId(58e5ee1da4e2980ece66e78a),"{""piquant"":0.0,""sour"":0.8333333333333334,""salty"":0.16666666666666666,""sweet"":0.16666666666666666,""bitter"":0.3333333333333333,""meaty"":0.16666666666666666}",3,2700,"[""chicken broth"",""cauliflower"",""garlic""]",The Paleo Mom,Mashed Cauliflower,"{""course"":[""Side Dishes""]}",Mashed-Cauliflower-627563
ObjectId(58e5ee1da4e2980ece66e87b),"{""piquant"":0.0,""sour"":0.5,""salty"":0.5,""sweet"":0.3333333333333333,""bitter"":0.5,""meaty"":0.16666666666666666}",4,1200,"[""carrots"",""butter"",""milk"",""ginger paste"",""salt"",""pepper""]",Honey And Birch,Mashed Ginger Carrots - Moulinex Chopper,"{""course"":[""Side Dishes""]}",Mashed-Ginger-Carrots---Moulinex-Chopper-1319819
ObjectId(58e5ee1da4e2980ece66e9d3),"{""sweet"":0.16666666666666666,""sour"":0.3333333333333333,""salty"":0.8333333333333334,""piquant"":0.0,""bitter"":0.8333333333333334,""meaty"":0.16666666666666666}",4,2100,"[""mashed potatoes"",""turkey bacon"",""cheddar cheese""]",The Bewitchin' Kitchen,Mashed Potato Poppers,"{""cuisine"":[""Kid-Friendly""]}",Mashed-Potato-Poppers-1050850
ObjectId(58e5ee1da4e2980ece66fb28),"{""piquant"":0.0,""sour"":0.16666666666666666,""salty"":0.16666666666666666,""sweet"":0.8333333333333334,""bitter"":0.3333333333333333,""meaty"":0.16666666666666666}",4,1800,"[""sweet potatoes"",""butter"",""brown sugar"",""nutmeg"",""cinnamon"",""maple syrup"",""milk""]",The Diary of a Real Housewife,Mashed Sweet Potatoes,"{""course"":[""Side Dishes""]}",Mashed-Sweet-Potatoes-1286736
ObjectId(58e5ee1da4e2980ece67044d),"{""piquant"":0.8333333333333334,""sour"":0.8333333333333334,""salty"":0.8333333333333334,""sweet"":0.16666666666666666,""bitter"":0.8333333333333334,""meaty"":0.6666666666666666}",4,1200,"[""eggs"",""bread"",""green peas"",""feta cheese"",""olive oil"",""cilantro"",""salt"",""pepper"",""chili pepper""]",Eat Well 101,Mashed Peas on Breakfast Toast,"{""course"":[""Breakfast and Brunch"",""Lunch""]}",Mashed-Peas-on-Breakfast-Toast-1064561
ObjectId(58e5ee1da4e2980ece670462),"{""sweet"":0.16666666666666666,""sour"":0.16666666666666666,""salty"":0.8333333333333334,""piquant"":0.0,""bitter"":0.8333333333333334,""meaty"":0.16666666666666666}",3,2100,"[""flour"",""mashed potatoes"",""eggs"",""salt""]",All My Good Things,Mashed Potato Gnocchi,{},Mashed-Potato-Gnocchi-1465166
ObjectId(58e5ee1da4e2980ece67078d),"{""piquant"":0.8333333333333334,""sour"":0.8333333333333334,""salty"":0.8333333333333334,""sweet"":0.16666666666666666,""bitter"":0.8333333333333334,""meaty"":0.6666666666666666}",4,1200,"[""eggs"",""bread"",""green peas"",""feta cheese"",""olive oil"",""cilantro"",""salt"",""pepper"",""chili pepper""]",Eat Well 101,Mashed Peas on Breakfast Toast,"{""course"":[""Breakfast and Brunch"",""Lunch""]}",Mashed-Peas-on-Breakfast-Toast-1064561
ObjectId(58e5ee1da4e2980ece6709f2),,4,1800,"[""mashed potatoes"",""eggs"",""whole wheat flour"",""green onions"",""salt"",""freshly ground black pepper"",""olive oil""]",Home Cooking Adventure,Mashed Potato Pancakes,"{""course"":[""Lunch""]}",Mashed-Potato-Pancakes-1469533
ObjectId(58e5ee1da4e2980ece670a2c),,4,1500,"[""head cauliflower"",""large garlic cloves"",""butter"",""salt"",""ground black pepper""]",ifoodreal,Mashed Cauliflower,"{""course"":[""Side Dishes""]}",Mashed-Cauliflower-1313230
ObjectId(58e5ee1da4e2980ece670ad4),,4,1800,"[""sweet potatoes"",""ginger"",""ground cinnamon"",""salt"",""ground pepper"",""butter"",""milk""]",Dr. Jean Layton,Mashed Sweet Potatoes,"{""course"":[""Side Dishes""]}",Mashed-Sweet-Potatoes-1417564
ObjectId(58e5ee1da4e2980ece6718f2),,4,5400,"[""sweet potatoes"",""milk"",""coconut oil"",""cinnamon"",""brown sugar"",""salt""]",Nutritious Eats,Mashed Sweet Potatoes in the Slow Cooker,"{""course"":[""Side Dishes""]}",Mashed-Sweet-Potatoes-in-the-Slow-Cooker-1387504
ObjectId(58e5ee1da4e2980ece671f2a),,3,900,"[""whole wheat toast"",""avocado"",""strawberries"",""feta cheese crumbles"",""pepper""]",Self,Mashed Avocado and Strawberry Toast,"{""course"":[""Lunch"",""Breakfast and Brunch""]}",Mashed-Avocado-and-Strawberry-Toast-1366783
ObjectId(58e5ee1da4e2980ece673262),,4,2100,"[""cauliflower"",""chopped potatoes"",""milk"",""salt"",""pepper""]",Super Healthy Kids,Mashed Cauliflower,"{""course"":[""Side Dishes""]}",Mashed-Cauliflower-986649
ObjectId(58e5ee1da4e2980ece673294),"{""piquant"":0.0,""sour"":0.8333333333333334,""salty"":0.16666666666666666,""sweet"":0.16666666666666666,""bitter"":0.3333333333333333,""meaty"":0.16666666666666666}",3,900,"[""potatoes"",""salt"",""butter"",""milk""]",BigOven,Mashed Potatoes,"{""course"":[""Side Dishes""],""holiday"":[""Sunday Lunch""]}",Mashed-Potatoes-779439
ObjectId(58e5ee1ea4e2980ece673628),,3,3600,"[""russet potatoes"",""butter"",""half \u0026 half"",""roasted garlic"",""prepared horseradish"",""kosher salt"",""black pepper""]",Add a Pinch,Mashed Potatoes with Horseradish and Garlic,"{""course"":[""Side Dishes""]}",Mashed-Potatoes-with-Horseradish-and-Garlic-624685
ObjectId(58e5ee1ea4e2980ece6738f2),"{""piquant"":0.0,""sour"":0.16666666666666666,""salty"":0.3333333333333333,""sweet"":0.6666666666666666,""bitter"":0.16666666666666666,""meaty"":0.6666666666666666}",5,2100,"[""sweet potatoes"",""heavy cream"",""unsalted butter"",""maple syrup"",""ground cinnamon"",""ground cardamom"",""salt"",""toasted pecans""]",Spoon Fork Bacon,Mashed Purple Sweet Potatoes,"{""course"":[""Side Dishes""]}",Mashed-purple-sweet-potatoes-334384
ObjectId(58e5ee1ea4e2980ece673f09),"{""piquant"":0.0,""sour"":0.8333333333333334,""salty"":0.16666666666666666,""sweet"":0.16666666666666666,""bitter"":0.16666666666666666,""meaty"":0.16666666666666666}",4,1200,"[""cauliflower"",""small new potatoes"",""heavy cream"",""sour cream"",""salt"",""butter""]",Nutritional Weight and Wellness,Mashed Potatoes and Cauliflower,"{""course"":[""Side Dishes""]}",Mashed-Potatoes-and-Cauliflower-1681686
ObjectId(58e5ee1ea4e2980ece674469),"{""piquant"":0.0,""sour"":0.5,""salty"":0.8333333333333334,""sweet"":0.3333333333333333,""bitter"":0.8333333333333334,""meaty"":0.16666666666666666}",3,10800,"[""chickpeas"",""onions"",""wheat bread"",""shredded carrots"",""hung curds"",""lettuce leaves"",""lemon juice"",""cherry tomatoes"",""black pepper"",""salt""]",Plattershare,Mashed Chickpeas Sandwich,"{""course"":[""Lunch""]}",Mashed-Chickpeas-Sandwich-2050501
ObjectId(58e5ee1ea4e2980ece674a1d),,4,1500,"[""cauliflower"",""florets"",""sour cream"",""heavy cream"",""Kerrygold Pure Irish Butter"",""salt""]",Thyme - food and travel,Mashed Cauliflower with Irish Creamed Butter,"{""course"":[""Side Dishes""],""cuisine"":[""Irish""]}",Mashed-Cauliflower-with-Irish-Creamed-Butter-530860
ObjectId(58e5ee1ea4e2980ece674acc),"{""piquant"":0.0,""sour"":0.3333333333333333,""salty"":0.8333333333333334,""sweet"":0.16666666666666666,""bitter"":0.8333333333333334,""meaty"":0.16666666666666666}",4,1500,"[""mashed potatoes"",""beaten eggs"",""flour"",""baking powder"",""salt""]",Creative K Kids,Mashed Potato Pancakes,"{""course"":[""Breakfast and Brunch""]}",Mashed-Potato-Pancakes-1937023
ObjectId(58e5ee1ea4e2980ece674b23),"{""piquant"":0.0,""sour"":0.3333333333333333,""salty"":0.6666666666666666,""sweet"":0.16666666666666666,""bitter"":0.8333333333333334,""meaty"":0.16666666666666666}",4,3000,"[""mashed potatoes"",""eggs"",""cottage cheese"",""sour cream"",""green onions"",""bacon bits"",""garlic powder"",""jack cheese""]",07Recipes,Mashed Potato Pie,"{""course"":[""Main Dishes""]}",Mashed-Potato-Pie-2049095
ObjectId(58e5ee1ea4e2980ece675045),"{""piquant"":0.0,""sour"":0.3333333333333333,""salty"":0.5,""sweet"":0.16666666666666666,""bitter"":0.6666666666666666,""meaty"":0.16666666666666666}",3,1500,"[""mashed potatoes"",""eggs"",""dried chives"",""flour"",""garlic powder"",""oil""]",BigOven,Mashed Potato Pancakes,"{""course"":[""Breakfast and Brunch""]}",Mashed-Potato-Pancakes-1427871
ObjectId(58e5ee1ea4e2980ece6756a1),,4,1800,"[""cauliflower"",""vegetable stock"",""large garlic cloves"",""grated parmesan cheese"",""salt"",""ground black pepper"",""cream""]",Eat Pray Juice,Mashed Parmesan Cauliflower,"{""course"":[""Side Dishes""]}",Mashed-Parmesan-Cauliflower-922646
ObjectId(58e5ee1ea4e2980ece675c39),,4,1800,"[""pumpkin purée"",""cinnamon"",""maple syrup"",""pinenuts""]",Clean eating recipes blog,Mashed Pumpkin with Pinenuts,{},Mashed-Pumpkin-with-Pinenuts-1256905
ObjectId(58e5ee1ea4e2980ece675fd7),"{""piquant"":0.0,""sour"":0.16666666666666666,""salty"":0.8333333333333334,""sweet"":0.5,""bitter"":0.8333333333333334,""meaty"":0.16666666666666666}",4,2700,"[""sweet potatoes"",""cream"",""butter"",""salt"",""roasted garlic"",""brown sugar""]","Went Here, 8 This",Mashed Sweet Potatoes,"{""course"":[""Side Dishes""]}",Mashed-Sweet-Potatoes-2047591
ObjectId(58e5ee1ea4e2980ece6760c6),,3,1500,"[""onion powder"",""garlic powder"",""sea salt"",""soup"",""cauliflower""]",Nutrition World,Mashed ‘Potatoes’ (Phase 1 Compatible),{},Mashed-Potatoes-_Phase-1-Compatible_-1510844
ObjectId(58e5ee1ea4e2980ece676403),,4,1200,"[""cauliflower"",""water"",""olive oil"",""Tofutti Better Than Sour Cream"",""salt"",""pepper""]",Create Mindfully,Mashed Cauliflower,"{""course"":[""Side Dishes""]}",Mashed-Cauliflower-1294259
ObjectId(58e5ee1ea4e2980ece676819),"{""piquant"":0.16666666666666666,""sour"":0.8333333333333334,""salty"":0.3333333333333333,""sweet"":0.16666666666666666,""bitter"":0.6666666666666666,""meaty"":0.16666666666666666}",4,1800,"[""broccoli florets"",""olive oil"",""butter"",""shallots"",""garlic"",""black pepper"",""coarse salt"",""ricotta cheese"",""grated parmesan cheese"",""chopped walnuts"",""dijon mustard"",""lemon zest"",""red pepper flakes""]",Cinnamon Girl,"Mashed Broccoli with Ricotta, Parmesan and Garlic","{""course"":[""Side Dishes""]}",Mashed-Broccoli-with-Ricotta_-Parmesan-and-Garlic-532213
ObjectId(58e5ee1ea4e2980ece6777ec),,3,1200,"[""cauliflower"",""heavy cream"",""butter"",""ground black pepper"",""salt""]",Southern Food About.com,Mashed Cauliflower,"{""course"":[""Side Dishes""]}",Mashed-Cauliflower-791751
ObjectId(58e5ee1ea4e2980ece6778ff),"{""piquant"":0.8333333333333334,""sour"":0.5,""salty"":0.8333333333333334,""sweet"":0.16666666666666666,""bitter"":0.16666666666666666,""meaty"":0.16666666666666666}",4,1800,"[""red potato"",""kosher salt"",""half \u0026 half"",""butter"",""prepared horseradish"",""ground white pepper""]",Savor The Best ,Mashed Baby Red Potatoes with Horseradish,"{""course"":[""Side Dishes""]}",Mashed-Baby-Red-Potatoes-with-Horseradish-1230809
ObjectId(58e5ee1ea4e2980ece677b5f),"{""piquant"":0.0,""sour"":0.16666666666666666,""salty"":0.8333333333333334,""sweet"":0.16666666666666666,""bitter"":0.8333333333333334,""meaty"":0.6666666666666666}",4,4500,"[""sweet potatoes"",""bacon"",""salt"",""pepper""]",Stay Fit Mom,Mashed Sweet Potatoes,"{""course"":[""Side Dishes""]}",Mashed-Sweet-Potatoes-1179268
