_id,flavors,rating,totalTimeInSeconds,ingredients,sourceDisplayName,recipeName,attributes,id
ObjectId(58e5ee19a4e2980ece65e0ff),"{""piquant"":0.0,""sour"":0.16666666666666666,""salty"":0.8333333333333334,""sweet"":0.16666666666666666,""bitter"":0.8333333333333334,""meaty"":0.6666666666666666}",5,4200,"[""olive oil"",""tomato sauce"",""fresh basil leaves"",""shells"",""mozzarella cheese"",""grated parmesan cheese"",""pepper"",""salt"",""onions"",""garlic"",""tomatoes""]",Big Girls Small Kitchen,Baked Shells with Tomato and Mozzarella,"{""course"":[""Main Dishes""],""cuisine"":[""Italian""]}",Baked-shells-with-tomato-and-mozzarella-310024
ObjectId(58e5ee19a4e2980ece65e104),,5,3000,"[""pizza doughs"",""pepperoni slices"",""mozzarella cheese"",""oil"",""grated parmesan cheese"",""pizza sauce""]",Jo Cooks,Baked or Fried Pizza Balls,"{""course"":[""Appetizers"",""Lunch""],""cuisine"":[""Kid-Friendly""]}",Baked-or-Fried-Pizza-Balls-439590
ObjectId(58e5ee19a4e2980ece65e161),"{""piquant"":0.5,""sour"":0.5,""salty"":0.6666666666666666,""sweet"":0.16666666666666666,""bitter"":0.5,""meaty"":0.6666666666666666}",4,2400,"[""boneless skinless chicken breasts"",""fresh lime juice"",""fresh cilantro"",""dijon mustard"",""olive oil"",""chili powder"",""sea salt"",""pepper""]",Elana's Pantry,Baked Mustard Lime Chicken,"{""course"":[""Main Dishes""]}",Baked-Mustard-Lime-Chicken-1561156
ObjectId(58e5ee19a4e2980ece65e187),"{""piquant"":0.0,""sour"":0.16666666666666666,""salty"":0.8333333333333334,""sweet"":0.16666666666666666,""bitter"":0.8333333333333334,""meaty"":0.8333333333333334}",4,1200,"[""large eggs"",""shredded parmesan cheese"",""heavy cream"",""salt"",""black pepper""]",Melissa's Southern Style Kitchen,Baked French Eggs,"{""course"":[""Breakfast and Brunch""]}",Baked-French-Eggs-1173213
ObjectId(58e5ee19a4e2980ece65e1bc),"{""piquant"":0.16666666666666666,""sour"":0.3333333333333333,""salty"":0.16666666666666666,""sweet"":0.16666666666666666,""bitter"":0.3333333333333333,""meaty"":0.16666666666666666}",4,2700,"[""russet potatoes"",""olive oil"",""coarse salt"",""dried rosemary"",""ground pepper""]",12Tomatoes,Baked Potato Chips,"{""course"":[""Lunch"",""Snacks""]}",Baked-Potato-Chips-983195
ObjectId(58e5ee19a4e2980ece65e1f2),"{""piquant"":0.0,""sour"":0.16666666666666666,""salty"":0.8333333333333334,""sweet"":0.16666666666666666,""bitter"":0.8333333333333334,""meaty"":0.8333333333333334}",4,660,"[""fontina"",""garlic"",""fresh thyme"",""fresh rosemary"",""extra-virgin olive oil"",""kosher salt"",""ground black pepper""]",Smells Like Home,Baked Fontina,{},Baked-Fontina-568081
ObjectId(58e5ee19a4e2980ece65e2f0),"{""piquant"":0.0,""sour"":0.16666666666666666,""salty"":0.16666666666666666,""sweet"":0.6666666666666666,""bitter"":0.16666666666666666,""meaty"":0.16666666666666666}",4,3000,"[""pears"",""honey"",""butter"",""cinnamon"",""vanilla extract""]",The Wheatless Kitchen,Baked Pears with Cinnamon + Honey,"{""course"":[""Desserts""]}",Baked-Pears-with-Cinnamon-_-Honey-996556
ObjectId(58e5ee1aa4e2980ece65e4a4),"{""piquant"":0.0,""sour"":0.3333333333333333,""salty"":0.3333333333333333,""sweet"":0.0,""bitter"":0.16666666666666666,""meaty"":0.16666666666666666}",5,5100,"[""spaghetti squash"",""butter"",""garlic"",""parsley"",""salt"",""parmesan cheese""]",Steamy Kitchen,Baked Spaghetti Squash with Garlic and Butter,"{""course"":[""Side Dishes""],""cuisine"":[""Italian""]}",Baked-spaghetti-squash-with-garlic-and-butter-315049
ObjectId(58e5ee1aa4e2980ece65e4cc),,4,1200,"[""trout fillet"",""olive oil"",""unsalted butter"",""kosher salt"",""cracked black pepper"",""old bay seasoning"",""cajun seasoning"",""lemon"",""green onions"",""fresh parsley""]",Deep South Dish,Baked Fish,{},Baked-Fish-1012985
ObjectId(58e5ee1aa4e2980ece65e50f),,4,3000,"[""lobster tails"",""melted butter"",""parsley flakes"",""juice"",""water"",""salt"",""ground black pepper""]",Panlasang Pinoy,Baked Lobster Tail,{},Baked-Lobster-Tail-1455634
