_id,flavors,rating,totalTimeInSeconds,ingredients,sourceDisplayName,recipeName,attributes,id
ObjectId(58e5ee20a4e2980ece682350),,4,900,"[""carrots"",""salt"",""sugar"",""low sodium chicken broth"",""unsalted butter"",""lemon juice"",""fresh thyme"",""ground black pepper""]",Platings and Pairings,Glazed Carrots,"{""course"":[""Side Dishes""]}",Glazed-Carrots-1061337
ObjectId(58e5ee20a4e2980ece68266f),"{""piquant"":0.0,""sour"":0.6666666666666666,""salty"":0.5,""sweet"":0.8333333333333334,""bitter"":0.16666666666666666,""meaty"":0.16666666666666666}",4,2400,"[""all-purpose flour"",""sugar"",""baking powder"",""salt"",""ground cinnamon"",""eggs"",""milk"",""butter"",""vanilla extract"",""strawberries"",""vegetable oil"",""almond extract""]",Spicy Southern Kitchen,Glazed Strawberry Fritters,"{""course"":[""Desserts""]}",Glazed-Strawberry-Fritters-1724606
ObjectId(58e5ee20a4e2980ece682b6d),"{""piquant"":0.0,""sour"":0.16666666666666666,""salty"":0.8333333333333334,""sweet"":0.8333333333333334,""bitter"":0.8333333333333334,""meaty"":0.3333333333333333}",3,2100,"[""flour"",""baking powder"",""baking soda"",""salt"",""butter"",""eggs"",""honey"",""buttermilk"",""turbinado"",""cinnamon"",""powdered sugar"",""milk"",""vanilla""]",Money Saving Mom,Glazed Cinnamon Scones,"{""course"":[""Breakfast and Brunch"",""Breads""],""cuisine"":[""English""]}",Glazed-Cinnamon-Scones-683033
ObjectId(58e5ee20a4e2980ece682c44),,3,900,"[""pastry"",""crème fraîche"",""lemon"",""strawberries"",""strawberry jam""]",Countdown,Glazed Summer Tart,"{""course"":[""Desserts""],""holiday"":[""Summer""]}",Glazed-Summer-Tart-1946224
ObjectId(58e5ee20a4e2980ece682eb0),"{""piquant"":0.0,""sour"":0.16666666666666666,""salty"":0.5,""sweet"":0.8333333333333334,""bitter"":0.16666666666666666,""meaty"":0.5}",4,2400,"[""shortening"",""brown sugar"",""eggs"",""all-purpose flour"",""baking soda"",""salt"",""ground cinnamon"",""ground cloves"",""ground nutmeg"",""chopped walnuts"",""apples"",""raisins"",""milk"",""confectioners sugar"",""butter"",""vanilla extract"",""cream""]",AllRecipes,Glazed Apple Cookies,"{""course"":[""Desserts""]}",Glazed-Apple-Cookies-1606037
ObjectId(58e5ee20a4e2980ece68373a),"{""piquant"":0.0,""sour"":0.16666666666666666,""salty"":0.8333333333333334,""sweet"":0.8333333333333334,""bitter"":0.8333333333333334,""meaty"":0.5}",4,780,"[""glazed donuts"",""eggs"",""milk"",""salt"",""vanilla extract""]",A Southern Mother,Glazed Donut French Toast,"{""course"":[""Breakfast and Brunch""]}",Glazed-Donut-French-Toast-1831373
ObjectId(58e5ee20a4e2980ece68481d),"{""piquant"":0.0,""sour"":0.6666666666666666,""salty"":0.5,""sweet"":0.6666666666666666,""bitter"":0.3333333333333333,""meaty"":0.16666666666666666}",4,1500,"[""margarine"",""firmly packed brown sugar"",""carrots"",""salt"",""pepper"",""fresh parsley""]",MyRecipes,Glazed Julienne Carrots,"{""course"":[""Side Dishes""]}",Glazed-Julienne-Carrots-My-Recipes
ObjectId(58e5ee21a4e2980ece684dbe),"{""piquant"":0.0,""sour"":0.16666666666666666,""salty"":0.6666666666666666,""sweet"":0.8333333333333334,""bitter"":0.5,""meaty"":0.16666666666666666}",4,2100,"[""popcorn"",""egg whites"",""sugar"",""salt"",""lemon extract"",""lemon zest"",""poppy seeds""]",Black Tie And Flip Flops,Glazed Lemon and Poppy Seed Popcorn,"{""course"":[""Lunch"",""Snacks""]}",Glazed-Lemon-and-Poppy-Seed-Popcorn-1707936
ObjectId(58e5ee21a4e2980ece68539b),"{""piquant"":0.0,""sour"":0.16666666666666666,""salty"":0.16666666666666666,""sweet"":0.5,""bitter"":0.16666666666666666,""meaty"":0.16666666666666666}",4,2400,"[""baby carrots"",""bacon slices"",""onions"",""brown sugar"",""pepper""]",MyRecipes,Glazed Carrots with Bacon and Onion,"{""course"":[""Side Dishes""],""holiday"":[""Christmas""]}",Glazed-Carrots-With-Bacon-And-Onion-My-Recipes
ObjectId(58e5ee21a4e2980ece68551f),"{""piquant"":0.16666666666666666,""sour"":0.8333333333333334,""salty"":0.8333333333333334,""sweet"":0.6666666666666666,""bitter"":0.8333333333333334,""meaty"":0.16666666666666666}",4,3000,"[""half \u0026 half"",""vanilla extract"",""egg yolks"",""all-purpose flour"",""granulated sugar"",""baking powder"",""salt"",""unsalted butter"",""orange juice"",""orange"",""glaze"",""powdered sugar"",""orange zest""]",I Heart Nap Time,Glazed Orange Scones,"{""course"":[""Breads"",""Afternoon Tea""],""cuisine"":[""English""]}",Glazed-Orange-Scones-1618528
ObjectId(58e5ee21a4e2980ece6856de),"{""piquant"":0.0,""sour"":0.3333333333333333,""salty"":0.8333333333333334,""sweet"":0.5,""bitter"":0.6666666666666666,""meaty"":0.16666666666666666}",3,1800,"[""carrots"",""butter"",""brown sugar"",""vegetable stock"",""salt""]",Vegetarianized,Glazed Carrots,"{""course"":[""Side Dishes""]}",Glazed-Carrots-633932
ObjectId(58e5ee21a4e2980ece686367),"{""piquant"":0.16666666666666666,""sour"":0.16666666666666666,""salty"":0.5,""sweet"":0.8333333333333334,""bitter"":0.3333333333333333,""meaty"":0.16666666666666666}",4,1680,"[""pumpkin"",""ground cinnamon"",""clove"",""light brown sugar"",""vegetable oil"",""large eggs"",""all-purpose flour"",""baking powder"",""baking soda"",""salt"",""glaze"",""powdered sugar"",""warm water"",""vanilla extract""]",Confessions of a Cookbook Queen,Glazed Pumpkin Donuts,"{""holiday"":[""Halloween""]}",Glazed-Pumpkin-Donuts-1330865
ObjectId(58e5ee21a4e2980ece6865eb),"{""piquant"":0.0,""sour"":0.16666666666666666,""salty"":0.6666666666666666,""sweet"":0.6666666666666666,""bitter"":0.8333333333333334,""meaty"":0.5}",4,1800,"[""chickpeas"",""almond butter"",""oats"",""pure maple syrup"",""sea salt"",""baking powder"",""cinnamon"",""nutmeg"",""chips"",""butter"",""honey""]",The Seasoned Mom,Glazed Honey Bun Breakfast Cookies,"{""course"":[""Desserts"",""Breakfast and Brunch""]}",Glazed-Honey-Bun-Breakfast-Cookies-1297080
ObjectId(58e5ee21a4e2980ece686875),,4,1500,"[""salmon fillets"",""broccoli"",""florets"",""olive oil"",""soy sauce"",""rice vinegar"",""garlic cloves"",""red pepper flakes"",""peach jam""]",Barefeet In The Kitchen,Glazed Salmon with Spicy Broccoli,"{""course"":[""Main Dishes""]}",Glazed-Salmon-with-Spicy-Broccoli-487130
ObjectId(58e5ee21a4e2980ece6869be),"{""piquant"":0.0,""sour"":0.16666666666666666,""salty"":0.3333333333333333,""sweet"":0.8333333333333334,""bitter"":0.3333333333333333,""meaty"":0.16666666666666666}",4,1320,"[""flour"",""unsweetened cocoa powder"",""baking soda"",""baking powder"",""brown sugar"",""granulated sugar"",""nutmeg"",""salt"",""unsalted butter"",""eggs"",""buttermilk"",""sugar"",""vanilla extract"",""milk""]",Sprinkle Some Sugar,Glazed Chocolate Cake Donuts,"{""course"":[""Desserts""]}",Glazed-Chocolate-Cake-Donuts-1886276
ObjectId(58e5ee21a4e2980ece68708e),,3,3300,"[""pizza doughs"",""softened butter"",""light brown sugar"",""ground cinnamon"",""confectioners sugar"",""milk"",""salt""]",Good Housekeeping,Glazed Cinnamon Rolls,"{""course"":[""Desserts"",""Breads""],""cuisine"":[""Kid-Friendly""]}",Glazed-Cinnamon-Rolls-2045660
ObjectId(58e5ee21a4e2980ece6871fb),"{""sweet"":0.8333333333333334,""sour"":0.8333333333333334,""salty"":0.5,""piquant"":0.16666666666666666,""bitter"":0.3333333333333333,""meaty"":0.16666666666666666}",4,,"[""eggs"",""sugar"",""unsalted butter"",""vanilla"",""mango"",""greek yogurt"",""lemon"",""all-purpose flour"",""baking powder"",""salt"",""baking soda"",""glaze"",""powdered sugar"",""milk"",""lemon juice""]",Hungry Couple,Glazed Mango Bread,{},Glazed-Mango-Bread-1259495
ObjectId(58e5ee21a4e2980ece687379),"{""sweet"":0.8333333333333334,""sour"":0.16666666666666666,""salty"":0.3333333333333333,""piquant"":0.0,""bitter"":0.16666666666666666,""meaty"":0.6666666666666666}",4,4500,"[""all-purpose flour"",""ground cinnamon"",""salt"",""baking soda"",""eggs"",""sugar"",""pumpkin"",""canola oil"",""semi-sweet chocolate morsels"",""white chocolate chips"",""confectioners sugar"",""heavy cream""]",Aunt Bee's Recipes,Glazed Double Chocolate Chip Pumpkin Bread,"{""course"":[""Breads""]}",Glazed-Double-Chocolate-Chip-Pumpkin-Bread-673557
ObjectId(58e5ee21a4e2980ece6873d1),"{""piquant"":0.0,""sour"":0.16666666666666666,""salty"":0.16666666666666666,""sweet"":0.8333333333333334,""bitter"":0.16666666666666666,""meaty"":0.16666666666666666}",4,1080,"[""flour"",""sugar"",""cocoa powder"",""mini chocolate chips"",""baking soda"",""vanilla extract"",""eggs"",""sour cream"",""milk"",""vegetable oil"",""powdered sugar"",""whole milk"",""vanilla""]",Buns in my Oven,Glazed Chocolate Donuts,"{""course"":[""Desserts""]}",Glazed-Chocolate-Donuts-993590
ObjectId(58e5ee21a4e2980ece687539),"{""piquant"":0.0,""sour"":0.16666666666666666,""salty"":0.6666666666666666,""sweet"":0.6666666666666666,""bitter"":0.8333333333333334,""meaty"":0.5}",4,1800,"[""chickpeas"",""almond butter"",""oats"",""pure maple syrup"",""sea salt"",""baking powder"",""cinnamon"",""nutmeg"",""chips"",""butter"",""honey""]",The Seasoned Mom,Glazed Honey Bun Breakfast Cookies,"{""course"":[""Desserts"",""Breakfast and Brunch""]}",Glazed-Honey-Bun-Breakfast-Cookies-1297080
ObjectId(58e5ee21a4e2980ece687635),"{""piquant"":0.0,""sour"":0.5,""salty"":0.16666666666666666,""sweet"":0.6666666666666666,""bitter"":0.16666666666666666,""meaty"":0.16666666666666666}",4,3900,"[""carrots"",""brown sugar"",""water"",""orange juice""]",Canning Homemade,Glazed Carrots,"{""course"":[""Side Dishes""]}",Glazed-Carrots-1458969
ObjectId(58e5ee21a4e2980ece68772a),"{""piquant"":0.8333333333333334,""sour"":0.16666666666666666,""salty"":0.3333333333333333,""sweet"":0.0,""bitter"":0.16666666666666666,""meaty"":0.3333333333333333}",3,2100,"[""rice noodles"",""skinless chicken breasts"",""oil"",""plum sauce"",""sesame seeds"",""chives""]",Tesco Food,Glazed Chicken With Rice Vermicellis,"{""course"":[""Main Dishes""],""cuisine"":[""Asian""]}",Glazed-Chicken-With-Rice-Vermicellis-1544082
ObjectId(58e5ee21a4e2980ece6879c7),,3,3300,"[""pizza doughs"",""softened butter"",""light brown sugar"",""ground cinnamon"",""confectioners sugar"",""milk"",""salt""]",Good Housekeeping,Glazed Cinnamon Rolls,"{""course"":[""Desserts"",""Breads""],""cuisine"":[""Kid-Friendly""]}",Glazed-Cinnamon-Rolls-2045660
